  Elt       SNIa_Coef  SNII_Coeff
  O          1.0000    1.0000
  Mg         5.0000    7.0000
  Si         1.0000    1.0000
  Ca         1.0000    1.0000
  Fe         1.0000    1.0000
  Zn        22.5000    1.0000
  K          0.1000    2.0000
  Sc        58.0000    1.1500
  Ti         2.0000   15.0000
  V          1.0000    1.0000
  Cr         0.6667    3.0000
  Mn         0.7000    1.0000
  Co        15.0000    0.3000
  Ba         0.0000    0.0000
  Eu         0.0000    0.0000
  Ni         0.1500    1.0000
