Carbon	Zsun	         Z=0.1	         Z=0.001	Z=0.0001	Z=0
11	2.365E-02	8.628E-02	9.012E-02	7.392E-02	4.284E-02
12	4.764E-02	8.628E-02	9.012E-02	7.392E-02	4.284E-02
13	7.904E-02	1.058E-01	1.079E-01	1.089E-01	6.825E-02
15	1.191E-01	1.377E-01	1.485E-01	1.431E-01	1.460E-01
18	1.980E-01	2.191E-01	1.935E-01	2.194E-01	1.096E-01
19	2.310E-01	2.296E-01	2.005E-01	2.166E-01	9.961E-02
20	1.576E-01	2.402E-01	2.074E-01	2.138E-01	8.960E-02
22	1.797E-01	2.255E-01	2.473E-01	2.721E-01	2.765E-01
25	2.520E-01	2.598E-01	2.783E-01	2.950E-01	4.218E-01
30	2.043E-01	2.955E-01	3.147E-01	3.330E-01	3.474E-01
35	2.247E-01	3.238E-01	3.518E-01	3.591E-01	3.486E-01
40	2.640E-01	3.884E-01	3.872E-01	4.200E-01	2.852E-01




























