0.5	 0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.9	 0.00E+00	0.00E+00	0.00E+00	0.00E+00
1	 1.00E-06	1.40E-06	0.00E+00	0.00E+00
1.15	 1.15E-06	1.60E-06	0.00E+00	0.00E+00
1.3	 1.30E-06	1.80E-06	0.00E+00	0.00E+00
1.5	 1.50E-06	2.10E-06	0.00E+00	0.00E+00
1.7	 1.70E-06	2.50E-06	0.00E+00	0.00E+00
2	 2.00E-06	2.80E-06	0.00E+00	0.00E+00
2.5	 2.52E-06	3.56E-06	0.00E+00	0.00E+00
3	 2.73E-05	3.83E-06	0.00E+00	0.00E+00
4	 1.20E-06	7.70E-06	3.22E-05	1.93E-05	
5	 0.20E-06	1.50E-06	0.84E-05	5.30E-05
7	 0.00E+00	0.00E+00	1.36E-05	4.00E-05
8	 0.00E+00	0.00E+00	1.36E-05	4.00E-05
   Mass     S           P         T          U          Z 
  11.0  0.722E-03  0.786E-04  0.465E-04  0.424E-04  0.989E-05  1.899E-06  
  12.0  0.511E-03  0.786E-04  0.465E-04  0.424E-04  0.989E-05  1.899E-06
  13.0  0.689E-03  0.370E-03  0.659E-04  0.283E-04  0.190E-03  1.899E-06
  15.0  0.295E-02  0.595E-03  0.113E-03  0.592E-04  0.568E-03  1.899E-06
  18.0  0.942E-02  0.186E-02  0.116E-02  0.155E-02  0.968E-09  3.305E-06
  19.0  0.214E-02  0.120E-02  0.933E-03  0.784E-03  0.101E-08  3.773E-06
  20.0  0.926E-03  0.532E-03  0.725E-04  0.185E-04  0.196E-08  4.242E-06
  22.0  0.126E-02  0.147E-03  0.168E-03  0.117E-03  0.390E-02  4.428E-06
  25.0  0.101E-01  0.255E-02  0.233E-03  0.253E-03  0.285E-02  4.709E-06
  30.0  0.594E-02  0.277E-02  0.134E-02  0.144E-02  0.389E-02  3.253E-06
  35.0  0.205E-01  0.523E-02  0.354E-02  0.248E-02  0.186E-02  3.253E-06	
  40.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
  50.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
  60.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
  70.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
  80.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
  90.0  0.357E-01  0.136E-01  0.628E-02  0.514E-02  0.107E-06  3.253E-06	
 100.0  0.357E-01  0.136E-01  0.628E-03  0.514E-02  0.107E-06  3.253E-06	
  11.0  0.628E-03  0.174E-03  0.124E-03  0.242E-03  0.719E-04  9.557E-07  
  12.0  0.510E-03  0.174E-03  0.124E-03  0.242E-03  0.719E-04  9.557E-07
  13.0  0.116E-02  0.802E-03  0.195E-03  0.137E-03  0.555E-03  9.557E-07
  15.0  0.381E-02  0.101E-02  0.729E-03  0.579E-03  0.131E-02  9.557E-07
  18.0  0.903E-02  0.394E-02  0.968E-03  0.209E-02  0.147E-09  1.855E-06  
  19.0  0.278E-02  0.333E-02  0.101E-02  0.152E-02  0.128E-09  2.155E-06
  20.0  0.293E-02  0.272E-02  0.105E-02  0.942E-03  0.109E-09  2.454E-06
  22.0  0.725E-02  0.164E-03  0.312E-03  0.132E-02  0.243E-02  2.869E-06
  25.0  0.231E-01  0.290E-02  0.282E-03  0.429E-02  0.188E-02  3.492E-06
  30.0  0.491E-01  0.175E-02  0.986E-02  0.803E-02  0.588E-02  4.328E-06
  35.0  0.617E-01  0.190E-02  0.989E-02  0.891E-02  0.874E-03  4.328E-06
  40.0  0.617E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
  50.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
  60.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
  70.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
  80.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
  90.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
 100.0  0.628E-01  0.154E-02  0.809E-02  0.704E-02  0.146E-07  4.328E-06
