   Mass   S WW       P WW       T WW       U WW       Z WW   
  11.0  0.432E-01  0.135E+00  0.141E+00  0.146E+00  0.667E-01
  12.0  0.108E+00  0.135E+00  0.141E+00  0.146E+00  0.667E-01
  13.0  0.161E+00  0.279E+00  0.209E+00  0.181E+00  0.137E+00
  15.0  0.550E+00  0.542E+00  0.422E+00  0.383E+00  0.400E+00
  18.0  0.974E+00  0.978E+00  0.950E+00  0.766E+00  0.300E-01
  19.0  0.127E+01  1.239E+00  1.280E+00  1.138E+00  0.196E-01
  20.0  0.177E+01  0.150E+01  0.162E+01  0.151E+01  0.921E-02
  22.0  0.219E+01  0.210E+01  0.194E+01  0.173E+01  0.185E+01
  25.0  0.303E+01  0.288E+01  0.283E+01  0.278E+01  0.967E-02
  30.0  0.461E+01  0.439E+01  0.445E+01  0.434E+01  0.435E+01
  35.0  0.552E+01  0.575E+01  0.565E+01  0.555E+01  0.192E+01
  40.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
  50.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
  60.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
  70.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
  80.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
  90.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
 100.0  0.566E+01  0.622E+01  0.619E+01  0.620E+01  0.578E+00
