 Mass  MM2000       P WW       T WW       U WW       Z WW  
  11.0  0.052  	0.135E+00  0.141E+00  0.146E+00  0.667E-01 
  12.0  0.070  	0.135E+00  0.141E+00  0.146E+00  0.667E-01 
  13.0  0.183  	0.279E+00  0.209E+00  0.181E+00  0.137E+00 
  15.0 	0.410  	0.542E+00  0.422E+00  0.383E+00  0.400E+00 
  18.0  1.010  	0.978E+00  0.950E+00  0.766E+00  0.300E-01 
  19.0  1.210  	1.239E+00  1.280E+00  1.138E+00  0.196E-01 
  20.0 	1.410  	0.150E+01  0.162E+01  0.151E+01  0.921E-02 
  22.0  1.998  	0.210E+01  0.194E+01  0.173E+01  0.185E+01 
  25.0 	2.880  	0.288E+01  0.283E+01  0.278E+01  0.967E-02 
  30.0  3.187  	0.439E+01  0.445E+01  0.434E+01  0.435E+01 
  35.0  3.493  	0.575E+01  0.565E+01  0.555E+01  0.192E+01 
  40.0 	3.800  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
  50.0  3.640  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
  60.0  3.480  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
  70.0  4.067  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
  80.0  4.653  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
  90.0  5.240  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
 100.0  5.827  	0.622E+01  0.619E+01  0.620E+01  0.578E+00 
