  modified  based on Data from WW95 case A and case B for M>35
mass      Zn        K      Sc       Ti       V         Cr       Mn       Co       Ni   
 11.   3.51e-5  5.05e-5  2.23e-6  2.2e-5   3.66e-6  6.79e-4  1.29e-4  4.24e-4  1.67e-2 
 12.   3.36e-5  2.14e-3  2.36e-6  2.64e-5  5.14e-6  6.97e-4  1.40e-4  6.70e-5  7.0e-3  
 13.   4.5e-5   7.7e-5   2.22e-6  2.66e-5  4.51e-6  6.43e-4  4.49e-4  6.73e-5  1.12e-2 
 15.   7.28e-5  3.18e-4  5.87e-6  5.01e-5  5.15e-6  4.57e-4  4.71e-4  1.01e-4  6.8e-3  
 18.   1.06e-4  1.47e-4  2.10e-6  5.60e-5  6.18e-6  2.97e-4  4.04e-4  1.43e-4  3.76e-3 
 19.   1.56e-4  8.69e-4  5.25e-6  5.78e-5  6.34e-6  2.66e-4  2.06e-4  2.57e-4  4.68e-3 
 20.   3.16e-4  9.37e-4  9.44e-6  5.80e-5  8.44e-6  1.80e-4  2.13e-4  2.72e-4  4.44e-3 
 22.   3.24e-4  1.50e-3  2.2e-5   5.96e-6  8.85e-6  1.35e-4  2.30e-4  2.94e-4  1.12e-2 
 25.   4.07e-4  5.04e-4  2.28e-6  5.00e-6  9.12e-6  1.30e-4  2.58e-4  2.50e-3  7.59e-3 
 30.   3.818e-4 3.31e-4  1.40e-6  1.00e-5  1.10e-5  1.50e-4  1.04e-4  2.69e-3  3.35e-2 
 35.   4.176e-4 1.66e-4  1.17e-6  3.00e-5  1.21e-5  1.50e-4  1.33e-4  2.65e-3  2.04e-3 
 40.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  3.04e-5  1.34e-4  2.75e-3  2.12e-3  
 50.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  2.04e-5  1.34e-4  2.75e-3  2.12e-3 
 60.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  1.04e-5  1.34e-4  2.75e-3  2.12e-3 
 70.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  1.04e-5  1.34e-4  2.75e-3  2.12e-3 
 80.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  1.04e-5  1.34e-4  2.75e-3  2.12e-3 
 90.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  1.04e-5  1.34e-4  2.75e-3  2.12e-3 
100.   3.71e-4  1.12e-4  1.41e-6  3.04e-5  1.23e-5  1.04e-5  1.34e-4  2.75e-3  2.12e-3 

